geolocation_city,geolocation_state,total_sellers,avg_lat,avg_lng
descalvado,SP,1,-21.908634153727803,-47.6195840295051
divisa nova,MG,1,-21.509980632593987,-46.195791142464834
domingos martins,ES,1,-20.35420704341062,-40.703285268955995
dracena,SP,1,-21.48639335970809,-51.533744143993836
embu,SP,1,-23.62700494903719,-46.82318450408936
embu das artes,SP,1,-23.64878072764483,-46.84902416891696
embu-guacu,SP,1,-23.8351268270498,-46.81408628502836
rio do oeste,SC,1,-27.19614273379346,-49.79595722328515
rio grande,RS,1,-32.079231334862214,-52.156032771961506
rio negrinho,SC,1,-26.25613891864582,-49.52153209709076
cordeiropolis,SP,1,-22.481763564480133,-47.459958340316014
cordilheira alta,SC,1,-26.986388569060693,-52.60331776416496
cornelio procopio,PR,1,-23.181161077296654,-50.64960783251922
coxim,MS,1,-18.50726515886232,-54.74875310212911
cravinhos,SP,1,-21.339319962321323,-47.737352556997614
presidente epitacio,SP,1,-21.773562635668824,-52.115709937410585
presidente getulio,SC,1,-27.050238879786896,-49.62755144977645
presidente venceslau,SP,1,-21.8742882795038,-51.84496960410871
queimados,RJ,1,-22.73701486100054,-43.563618736776355
resende,RJ,1,-22.47945755126941,-44.497006003882944
rio bonito,RJ,1,-22.711927870432564,-42.63004113951235
rio branco,AC,1,-9.967843044507292,-67.81328446862534
rio das pedras,SP,1,-22.842321876787764,-47.60705361138728
congonhas,MG,1,-20.509894537367913,-43.86168754730868
sao francisco do sul,SC,1,-26.24556370537883,-48.60788895849941
sao joao da boa vista,SP,1,-21.973167687922786,-46.79459474749641
sao joaquim da barra,SP,1,-20.585751390105457,-47.863693188164746
sao leopoldo,RS,1,-29.77653386683951,-51.13068516330073
sao pedro da aldeia,RJ,1,-22.80981035611303,-42.164405297717686
sao sebastiao,SP,1,-23.771731754447984,-45.52529592946437
sao sebastiao da grama,SP,1,-21.710870954893334,-46.82083536657486
cerqueira cesar,SP,1,-23.034100418770535,-49.16234455805434
cianorte,PR,1,-23.657923694543378,-52.58993043586271
clementina,SP,1,-21.56018491317655,-50.445800319817664
colatina,ES,1,-19.52664430508559,-40.662431856344476
colorado,PR,1,-22.837653869064955,-51.973422045406195
concordia,SC,1,-27.21992557329001,-52.02327989668862
condor,RS,1,-28.20732212632177,-53.484839056818565
congonhal,MG,1,-21.865404185877193,-45.65082349975035
sao bento,PB,1,-6.491794555348289,-37.45186210632904
cananéia,SP,1,-25.009292746688903,-47.93195710361432
caratinga,MG,1,-19.787035607141227,-42.1378858141528
carmo da mata,MG,1,-20.55966811821635,-44.86917286484877
carmo do cajuru,MG,1,-20.282776843212414,-44.831468417027196
cataguases,MG,1,-21.382655116417972,-42.70358535785255
caucaia,CE,1,-3.7667659956037407,-38.65536409195577
caçador,SC,1,-26.775704753869576,-51.02952456825458
santa cruz do sul,RS,1,-29.69489793178255,-52.44250849507993
santa maria da serra,SP,1,-22.569639672881543,-48.15539870681134
santa rosa de viterbo,SP,1,-21.48348869998301,-47.36865063485143
santa terezinha de goiás,GO,1,-14.43073368841814,-49.7106029180799
santo antonio da patrulha,RS,1,-29.833102764742073,-50.52008406269422
santo antonio de padua,RJ,1,-21.552859881634557,-42.19618878044136
santo antonio de posse,SP,1,-22.60561843199777,-46.920447238133505
santo ângelo,RS,1,-28.290552519798347,-54.262511433078906
vitoria de santo antao,PE,1,-8.120502273342717,-35.29647027475308
vitória,ES,1,-20.320038528527185,-40.3329218886029
almirante tamandare,PR,1,-25.3418094415625,-49.29556761319491
alambari,SP,1,-23.56157106605844,-47.88510054852834
afonso claudio,ES,1,-20.076821553002276,-41.12371138232126
várzea paulista,SP,1,-23.218702229039696,-46.83249590862526
abadia de goias,GO,1,-16.76706286540188,-49.438089420466014
tres coroas,RS,1,-29.511355583933103,-50.78115073787274
teresina,PI,1,-5.12360945433745,-42.76834387096315
terra boa,PR,1,-23.77185835065084,-52.44832800271509
tiete,SP,1,-23.101621006440027,-47.71181914055678
timoteo,MG,1,-19.545340606723506,-42.643848513674975
vicosa,MG,1,-20.754734638539293,-42.87751998529491
ampere,PR,1,-25.91985831671865,-53.47434392960834
alvorada,RS,1,-30.006489300919636,-51.07951429592405
alvares machado,SP,1,-22.07699368740586,-51.46756282500047
são leopoldo,RS,1,-29.769156789229083,-51.1302496283369
são luís,MA,1,-2.5012422006260024,-44.24816336596761
taboão da serra,SP,1,-23.636703761016996,-46.79412240682528
taio,SC,1,-27.118392469189253,-49.999646980328485
tambau,SP,1,-21.703495030535553,-47.276353860301036
taruma,SP,1,-22.7489466206339,-50.578951684465736
teixeira soares,PR,1,-25.371975656252413,-50.462083835822334
teofilo otoni,MG,1,-17.858065304878753,-41.49527921433998
boa esperança,RJ,1,-22.751923494229857,-42.53355679259949
bocaiuva do sul,PR,1,-25.21080605480616,-49.111757263590974
bofete,SP,1,-23.110602286087335,-48.262470448819585
bom jardim,RJ,1,-22.15968821079869,-42.41686495479445
bom jesus dos perdoes,SP,1,-23.138276989175566,-46.468612532513475
bombinhas,SC,1,-27.15657253033492,-48.50320378589786
bonfinopolis de minas,MG,1,-16.562527667206663,-45.9986358674731
são joão de meriti,RJ,1,-22.80597341277987,-43.3903648173854
joao pinheiro,MG,1,-17.732005370360085,-46.16588731423498
juazeiro do norte,CE,1,-7.214522842391537,-39.30961254620596
jussara,PR,1,-23.622748095003274,-52.4701183751283
lagoa santa,MG,1,-19.636520104484408,-43.89965142692265
laguna,SC,1,-28.47572857600972,-48.784659261030505
lambari,MG,1,-21.974223701500048,-45.349168217053055
laranjeiras do sul,PR,1,-25.406829674391112,-52.41264472955825
leme,SP,1,-22.181647599313436,-47.404266712265496
jambeiro,SP,1,-23.26168303044727,-45.69815213667702
janaúba,MG,1,-15.80139862110408,-43.31032547167575
japira,PR,1,-23.8119965425153,-50.14014250820877
jaragua,GO,1,-15.7491870749417,-49.332105332149894
jarinu,SP,1,-23.096492254601632,-46.71792466026417
jaú,SP,1,-22.285564358190705,-48.53505780924214
ji-parana,RO,1,-10.87722223893279,-61.95841508458222
joao monlevade,MG,1,-19.81470370525168,-43.170408968379526
vargem grande paulista,SP,1,-23.622578843657738,-47.01272716168211
varzea alegre,CE,1,-6.792557339326901,-39.29859640215861
vassouras,RJ,1,-22.40767287308994,-43.667689767440216
vera cruz,SP,1,-22.22217393101984,-49.822674319538606
vespasiano,MG,1,-19.731097253636868,-43.94146568879755
viana,ES,1,-20.370296473620964,-40.416448541581005
jacutinga,RS,1,-27.728956133348813,-52.536535128236906
jales,SP,1,-20.280018460507243,-50.551435046389685
tres de maio,RS,1,-27.77657590438832,-54.23551840843681
tres rios,RJ,1,-22.117081691207215,-43.211924511561755
triunfo,RS,1,-29.930632716179662,-51.70738486119434
ubatuba,SP,1,-23.452929299956928,-45.093219408528476
uberlândia,MG,1,-18.950237259905315,-48.309470659443285
uniao da vitoria,PR,1,-26.230550326532917,-51.08592558853442
uruguaiana,RS,1,-29.762249215384355,-57.078952373770164
vale dos vinhedos,RS,1,-29.17519237322801,-51.56925812204669
