geolocation_city,geolocation_state,total_orders,avg_lat,avg_lng
jaguarari,BA,8,-10.33361416984474,-40.15152490130054
ribeira do pombal,BA,8,-10.855588015152298,-38.53647669595227
baixo guandu,ES,8,-19.512568777088724,-41.012926255435566
baependi,MG,8,-21.961660896718744,-44.88903628055419
encruzilhada do sul,RS,8,-30.544711212440724,-52.52372179022532
papanduva,SC,8,-26.40493104975987,-50.1457709126807
crixas,GO,8,-14.540576551279157,-49.96901725828049
goianira,GO,8,-16.51328325061693,-49.420950494453805
goias,GO,8,-15.938605999778817,-50.142780792093696
getulio vargas,RS,8,-27.88662962008021,-52.22847844606442
três rios,RJ,8,-22.1066355281145,-43.198001355639875
alto do rodrigues,RN,8,-5.294882466955311,-36.75812276543539
ecoporanga,ES,8,-18.36881608995012,-40.82597415326898
vila valerio,ES,8,-18.994923624409637,-40.383087196982125
buritizeiro,MG,8,-17.364555680535215,-44.984647236468014
alvares machado,SP,8,-22.07699368740586,-51.46756282500047
gama,DF,8,-16.016768361135686,-48.072015369630975
fervedouro,MG,8,-20.72487631162102,-42.305273280395866
nova petrópolis,RS,8,-29.375117732594422,-51.10823005629176
dourado,SP,8,-22.111603906846536,-48.314428984681655
conchas,SP,8,-23.019107243424635,-48.01092517102232
ipaba,MG,8,-19.415825523070794,-42.41082528054917
mambore,PR,8,-24.314251507368123,-52.52911313719751
macaubas,BA,8,-13.020323700819894,-42.69286729718252
itaiopolis,SC,8,-26.34568104118662,-49.90830890118037
sao jose da lapa,MG,8,-19.707822627527648,-43.97312654875095
sumaré,SP,8,-22.820762409611284,-47.171513139039945
aracariguama,SP,8,-23.434370516019598,-47.06736198733114
coribe,BA,8,-13.825204329206679,-44.453887836460595
ico,CE,8,-6.400125364972757,-38.86025558900954
ibia,MG,8,-19.515039180739823,-46.56160823512746
mateus leme,MG,8,-19.99123842180006,-44.42872947177971
poco fundo,MG,8,-21.780150901757477,-45.967467696634145
bom jardim de minas,MG,8,-21.94855498599183,-44.186545939437465
bom jesus,GO,8,-18.21596364273308,-49.738250572652625
sapezal,MT,8,-13.543400052390023,-58.80819185176762
penedo,AL,8,-10.286413219075994,-36.568256813115546
pedro de toledo,SP,8,-24.279033957085804,-47.235761825825534
mirai,MG,8,-21.193427607018222,-42.614449696492215
cananéia,SP,8,-25.009292746688903,-47.93195710361432
anicuns,GO,8,-16.459840612028362,-49.96081462896285
angatuba,SP,8,-23.495630988076112,-48.40720315622438
guaicara,SP,8,-21.62209955605368,-49.7959617756038
cristalina,GO,8,-16.769915526637476,-47.6107232623567
simonesia,MG,8,-20.110674250821898,-41.999729713013636
borborema,SP,8,-21.620786398855515,-49.074917989060566
bonito,MS,8,-21.126740609138764,-56.48694326023459
santo augusto,RS,8,-27.85304797287884,-53.777970149174564
lauro muller,SC,8,-28.38824435989875,-49.407237961634365
lambari,MG,8,-21.974223701500048,-45.349168217053055
rio acima,MG,8,-20.089910650795822,-43.789123418882596
sao goncalo do sapucai,MG,8,-21.812595997261347,-45.54772708041925
martinopolis,SP,8,-22.148084858468284,-51.16954949489018
marilandia,ES,8,-19.412026310370646,-40.54293876855565
maracai,SP,8,-22.615059082577268,-50.66808209417246
penápolis,SP,8,-21.429375725783895,-50.08402846063133
perdizes,MG,8,-19.360654988886733,-47.28562643685491
imbituva,PR,8,-25.229677010502076,-50.603896895070974
piratininga,SP,8,-22.414599706790426,-49.139359658774346
pinheiros,ES,8,-18.410899011847384,-40.219401752231356
sao joaquim de bicas,MG,8,-20.053365700179633,-44.26097711552808
itaboraí,RJ,8,-22.746272311364063,-42.904080761101596
itacare,BA,8,-14.279478060586863,-38.99399678635202
joao neiva,ES,8,-19.7510070097032,-40.38667300846462
porciuncula,RJ,8,-20.966705988175868,-42.04149743158904
pontal do parana,PR,8,-25.640064483362185,-48.42767049926185
colider,MT,8,-10.804773825870669,-55.45771049615255
itamarandiba,MG,8,-17.860280171639676,-42.86198587095291
mangueirinha,PR,8,-25.940474358861895,-52.17787723251204
porto nacional,TO,8,-10.705425521877858,-48.406267678182125
arinos,MG,8,-15.920350682439093,-46.10773503284158
aripuana,MT,8,-10.185039835290205,-59.460581802148454
sao felix do xingu,PA,8,-6.693010896081553,-51.980997450589435
santa juliana,MG,8,-19.31600396028638,-47.52829292656992
valparaiso,SP,8,-21.225948248423403,-50.866901593158474
turmalina,MG,8,-17.299749885046513,-42.73241020739489
trajano de moraes,RJ,8,-22.065707657624642,-42.06975873031077
potirendaba,SP,8,-21.045033707741553,-49.37615780505847
cidade ocidental,GO,8,-16.093413985792107,-47.924209518614305
chapadão do céu,GO,8,-18.39733282966265,-52.662564788057274
quedas do iguacu,PR,8,-25.45540767476729,-52.91314803872301
jacare,SP,8,-23.2831637647373,-46.29752132500832
santarém,PA,8,-2.4477547342435164,-54.72118945946983
pinhao,PR,8,-25.696207537162962,-51.657107558032365
botelhos,MG,8,-21.648002330268397,-46.39978613617222
navirai,MS,8,-23.06107639693415,-54.20037679183215
mutum,MG,8,-19.826182498347983,-41.43855366446426
caetanópolis,MG,8,-19.303656393400818,-44.40952697159709
nova esperança,PR,8,-23.18538719138743,-52.20422371871447
nova europa,SP,8,-21.780472771981888,-48.56577873780284
camocim,CE,8,-2.9042495798412467,-40.846325303002686
cambuci,RJ,8,-21.574416861817856,-41.911663806863615
ampere,PR,8,-25.91985831671865,-53.47434392960834
dores de campos,MG,8,-21.109897644968864,-44.02336767935939
parapua,SP,8,-21.78166536507636,-50.79155691581234
cacu,GO,8,-18.56664910423138,-51.135007457286655
ouricuri,PE,8,-7.887590132628159,-40.08427106445938
ortigueira,PR,8,-24.205572115297535,-50.933840621265624
orleans,SC,8,-28.357506793762706,-49.288673597165094
camamu,BA,8,-13.949892230855664,-39.11166935758069
vitoria,PR,8,-25.338344580997532,-50.42915419117081
cajobi,SP,8,-20.877875377557153,-48.81096248940023
cafelandia,SP,8,-21.80320059939524,-49.602212692890134
porto real,RJ,7,-22.427801854013033,-44.30627265296702
divinolandia,SP,7,-21.661406822890473,-46.73662296127121
potiragua,BA,7,-15.62923116778944,-39.795969813563566
dianopolis,TO,7,-11.627033763785315,-46.8215469964229
ceres,GO,7,-15.303639303509014,-49.60722003897494
vitória da conquista,BA,7,-14.845394579030726,-40.8599756622117
campos belos,GO,7,-13.03716354927162,-46.769693978198795
avanhandava,SP,7,-21.4607100639242,-49.94644521887572
virginopolis,MG,7,-18.813867941106725,-42.70136228778343
vila muriqui,RJ,7,-22.92131978426367,-43.92075713526868
santo cristo,RS,7,-27.82626472010779,-54.66498504924796
sao cristovao,SE,7,-10.95947856556054,-37.151645485714575
santo antonio do jacinto,MG,7,-16.534602275326026,-40.19046460759673
missal,PR,7,-25.092280977590956,-54.24220554511303
inhapim,MG,7,-19.546635831295777,-42.112670848873115
ipanema,MG,7,-19.800222704580385,-41.71530616082554
morro da fumaca,SC,7,-28.651461411045457,-49.210957717791
morro do chapeu,BA,7,-11.548025813188568,-41.15916631362808
vera cruz,BA,7,-12.985503950452635,-38.64129637476195
céu azul,PR,7,-25.147087829716437,-53.85009652876607
bom conselho,PE,7,-9.176329291731035,-36.68004491131996
catende,PE,7,-8.66542534670664,-35.726036765833456
sao domingos do norte,ES,7,-19.138753324097504,-40.615545044821154
areal,RJ,7,-22.243707999292415,-43.09854917159979
ipaussu,SP,7,-23.055151680595838,-49.62719098425695
inhambupe,BA,7,-11.788063884310118,-38.35536601172614
arroio do sal,RS,7,-29.5409423986955,-49.88526690603356
campinorte,GO,7,-14.312747501518933,-49.15368762101759
nazaré paulista,SP,7,-23.17365980834384,-46.39950999120283
nao-me-toque,RS,7,-28.46111701460003,-52.81932731120382
mozarlandia,GO,7,-14.751273938437228,-50.56816461230509
campo erê,SC,7,-26.39536028245974,-53.080448080969894
campo maior,PI,7,-4.830288661012602,-42.16987422607917
confresa,MT,7,-10.63429415830214,-51.576750870961995
astorga,PR,7,-23.236673429298893,-51.6679338722843
morungaba,SP,7,-22.875938478414557,-46.793434706878294
casca,RS,7,-28.56573083286525,-51.974619453032226
itapage,CE,7,-3.6873325423106107,-39.58357917958479
silvania,GO,7,-16.664838379896693,-48.61117277481365
simao dias,SE,7,-10.740552873132728,-37.806857157301685
piripiri,PI,7,-4.276353324093241,-41.778085846855895
pirangi,SP,7,-21.095628417437535,-48.66404771711195
pirapetinga,MG,7,-21.661382378379866,-42.349693185518994
entre rios de minas,MG,7,-20.67110481067536,-44.06587180143238
firminopolis,GO,7,-16.579554212323874,-50.30572061487165
alfredo chaves,ES,7,-20.627031870241968,-40.74931056937235
pimenta bueno,RO,7,-11.687572920711828,-61.17124596903098
pinhalao,PR,7,-23.78967571984096,-50.058695203268186
sao goncalo do amarante,RN,7,-5.774576872259279,-35.28082855979171
medeiros neto,BA,7,-17.375406123452056,-40.22236401991968
ibotirama,BA,7,-12.173954820936972,-43.21478059581289
sao gabriel do oeste,MS,7,-19.384053013667476,-54.57840194258982
comendador levy gasparian,RJ,7,-22.03394176340095,-43.212766283950224
comodoro,MT,7,-13.658483691777999,-59.78450051842194
matupa,MT,7,-10.144574145793701,-54.8697929592983
santa rita do araguaia,GO,7,-17.31931964620719,-53.193994250646135
conceicao do araguaia,PA,7,-8.258828967969176,-49.29806443493768
ipiau,BA,7,-14.134256363320024,-39.73628797573608
sao jeronimo,RS,7,-29.963285193390465,-51.71984109992491
nhandeara,SP,7,-20.693537430599775,-50.042499092685674
campanha,MG,7,-21.834793738633515,-45.40188042460609
santa maria madalena,RJ,7,-21.959437553586415,-41.99996084085292
mucuri,BA,7,-18.071603357754014,-39.56837083080777
igarapava,SP,7,-20.04272970102337,-47.75051449522856
neropolis,GO,7,-16.405922323480205,-49.221319687063634
tocantinopolis,TO,7,-6.325757558052025,-47.43089957828529
terra rica,PR,7,-22.72482408621595,-52.62259347387968
guarani,MG,7,-21.35615246227957,-43.04869152191265
timbauba,PE,7,-7.511929938098343,-35.31684951447656
balneario pinhal,RS,7,-30.243801490942474,-50.26317884150175
nova russas,CE,7,-4.7085259993750315,-40.55730268868141
cansancao,BA,7,-10.669392366727326,-39.49764755503931
sao raimundo nonato,PI,7,-9.014476907770096,-42.69139823837441
lagoa formosa,MG,7,-18.77618044480129,-46.404217247384295
itobi,SP,7,-21.733102461683774,-46.97227007969109
ubirata,PR,7,-24.542415289355326,-52.98976116432448
ribeirao bonito,SP,7,-22.081623849526718,-48.220362384178166
marmeleiro,PR,7,-26.14973579423784,-53.02966720898468
sousa,PB,7,-6.764132247038709,-38.22694696509552
são joão de meriti,RJ,7,-22.778674883937367,-43.362710500577556
sao joao dos patos,MA,7,-6.497455089795662,-43.701512508828564
alpinopolis,MG,7,-20.858669988986815,-46.3868959952482
são josé do norte,RS,7,-31.964754042722465,-52.007117929659
são bento do sapucaí,SP,7,-22.691052549132618,-45.71848783915089
hidrolândia,CE,7,-4.4087870127259015,-40.40359769631019
santa inês,MA,7,-3.6636476418761106,-45.38104359499544
três cachoeiras,RS,7,-29.45367401984629,-49.92164780810167
horizontina,RS,7,-27.627277989445282,-54.31036031755507
teotonio vilela,AL,7,-9.91132355428027,-36.35627070556906
santa albertina,SP,7,-20.030298091246614,-50.72841136849298
guaira,PR,7,-24.08674452889675,-54.25118501409774
guara,SP,7,-20.43217689916522,-47.82416381617846
malacacheta,MG,7,-17.847697697027982,-42.0808485867346
madre de deus,BA,7,-12.741679313725754,-38.613481836600386
cocal,PI,7,-3.4703792660724604,-41.55482822863676
itaberá,SP,7,-23.865231195169468,-49.140922471000636
codo,MA,7,-4.461757206996403,-43.8915996078408
itaguacu,ES,7,-19.792991958104,-40.85391940789055
paco do lumiar,MA,7,-2.532493843274056,-44.16157841476528
rubiataba,GO,7,-15.163985855096604,-49.80376085496956
cruzeiro do oeste,PR,7,-23.802145643807762,-53.029694743706514
cruz,CE,7,-2.910768029629216,-40.19592023640867
rodeio,SC,7,-26.88932240353919,-49.35056297333393
piedade de caratinga,MG,7,-19.7601647723446,-42.075565277025554
currais novos,RN,7,-6.259324714082861,-36.518752632087725
apiuna,SC,7,-27.03913714021548,-49.387627154204594
sao luis de montes belos,GO,7,-16.512880224214197,-50.37494301100561
brasópolis,MG,7,-22.478535643061456,-45.617941318817806
ruy barbosa,BA,7,-12.283351491742769,-40.498588898312164
rondonópolis,MT,7,-16.468347970568054,-54.626673007575455
cristina,MG,7,-22.21042987201982,-45.2646508788708
barra da estiva,BA,7,-13.627303617775587,-41.32764243619517
barra do corda,MA,7,-5.504495037749826,-45.24672365808475
palmeira dos indios,AL,7,-9.414148653729763,-36.62877777789201
luis antonio,SP,7,-21.55425425078896,-47.701861968009545
limoeiro,PE,7,-7.877711226236674,-35.44809501145188
itapui,SP,7,-22.234558579647267,-48.721835002175304
arceburgo,MG,7,-21.364132750962657,-46.93989548487439
aparecida do taboado,MS,7,-20.080651275371537,-51.10642297448527
passo de torres,SC,7,-29.315305255958787,-49.720961505227535
rolim de moura,RO,7,-11.722454098877984,-61.77703628883976
bilac,SP,7,-21.40261065132153,-50.47539635637737
boa esperanca,ES,7,-18.53583690499467,-40.3013125200212
bayeux,PB,7,-7.12861297967167,-34.91996124464025
bela vista de goias,GO,7,-16.97074863211508,-48.950997445700146
acreuna,GO,7,-17.398332393161862,-50.373014769571675
espumoso,RS,7,-28.730670471052086,-52.844475193036104
ervalia,MG,7,-20.84059414010997,-42.655599256881075
bicas,MG,7,-21.718907282263547,-43.065123888195494
estiva gerbi,SP,7,-22.274617698782976,-46.952843895583676
cerro largo,RS,7,-28.146638263140144,-54.737891661227
caçapava,SP,7,-23.106219042005986,-45.71404564759668
ivaipora,PR,7,-24.246396881737038,-51.67066762921262
diamantino,MT,7,-14.377597702807694,-56.45862445365625
jaragua,GO,7,-15.7491870749417,-49.33210533214989
primeiro de maio,PR,7,-22.853646931554483,-51.027312904521914
dores do indaia,MG,7,-19.466534517809865,-45.6005195139431
acopiara,CE,7,-6.094117746073023,-39.44897848740864
acailandia,MA,7,-4.945933764432744,-47.48449633404995
prudentopolis,PR,7,-25.21513981049956,-50.98763401109219
caninde,CE,6,-4.3559287899539,-39.314376212285076
apiaca,ES,6,-21.153323461585163,-41.56743108039142
alvorada,TO,6,-12.478669410006965,-49.12290484577026
tanguá,RJ,6,-22.735218709428022,-42.727847609078914
joanopolis,SP,6,-22.930894216921274,-46.27503350450869
tapes,RS,6,-30.67407284892654,-51.39790575071823
campinas do sul,RS,6,-27.71786642064481,-52.62398227507844
ipora do oeste,SC,6,-26.987999188007993,-53.53230099043113
presidente getulio,SC,6,-27.0502388797869,-49.627551449776455
abelardo luz,SC,6,-26.565375356044346,-52.32532803924757
engenheiro paulo de frontin,RJ,6,-22.537265002139407,-43.665799223424436
entre rios,BA,6,-11.945978977641902,-38.0822356466142
rio novo do sul,ES,6,-20.860485103348744,-40.93526011608743
espigao do oeste,RO,6,-11.52662041605006,-61.014742629135874
itariri,SP,6,-24.290642394425944,-47.164350224471185
seabra,BA,6,-12.419056280766661,-41.77211221180393
sao goncalo do rio abaixo,MG,6,-19.80511275589166,-43.4412431614133
canavieiras,BA,6,-15.673596172003466,-38.949304954144246
fernando prestes,SP,6,-21.267134804144064,-48.686678524301236
cabedelo,PB,6,-7.039080379887422,-34.85490329371194
barbalha,CE,6,-7.310555661406291,-39.30173021019368
cabreuva,SP,6,-23.272925280139958,-47.0846305931781
butia,RS,6,-30.11987672785401,-51.96254104620899
bálsamo,SP,6,-20.73716391788846,-49.58219749414946
palmeira d'oeste,SP,6,-20.415904962736956,-50.7621543967218
bom princípio,RS,6,-29.48062917723207,-51.35923183710607
realeza,PR,6,-25.76961904751624,-53.533983722676076
reboucas,PR,6,-25.62322979853165,-50.69335042293026
bocaina,SP,6,-22.14186629540696,-48.527803199195596
ronda alta,RS,6,-27.78222223380718,-52.806500480230916
benedito novo,SC,6,-26.78186783336413,-49.377719976799675
pombal,PB,6,-6.7675469145337415,-37.79582970815996
alcinópolis,MS,6,-18.325810509057312,-53.7103548825389
cássia,MG,6,-20.582930704896818,-46.9221356375289
esperanca,PB,6,-7.018672399492172,-35.859303897935085
pirai do sul,PR,6,-24.53385608366247,-49.939370262890066
medina,MG,6,-16.227412654546985,-41.47835277276773
juruaia,MG,6,-21.252993786542923,-46.578964851582064
conquista,MG,6,-19.932894734007487,-47.55206053235131
apiai,SP,6,-24.5103902774688,-48.84405829786659
mata verde,MG,6,-15.690291833040085,-40.73844595333425
jacunda,PA,6,-4.450475687361891,-49.11559572959484
nova trento,SC,6,-27.28299944363184,-48.93077294776362
iacanga,SP,6,-21.892163263400608,-49.02157232007048
nova prata do iguacu,PR,6,-25.635752110869912,-53.34729247755231
rio branco do sul,PR,6,-25.180768393805682,-49.31657303541073
rio das flores,RJ,6,-22.167450983183613,-43.58379149561636
general salgado,SP,6,-20.64696405474457,-50.36256371267587
cabrobo,PE,6,-8.506721376676866,-39.309094429333996
tupi paulista,SP,6,-21.385866861981842,-51.573633973535884
carlopolis,PR,6,-23.42771464779158,-49.71815635045274
lima duarte,MG,6,-21.841835048420986,-43.80181626080042
itapura,SP,6,-20.64306258129077,-51.507083113089436
itapuranga,GO,6,-15.560605178412759,-49.94714060919716
areado,MG,6,-21.35871206261818,-46.1449665979704
luziânia,GO,6,-16.207602556398808,-47.93283224215234
amambai,MS,6,-23.091896511618213,-55.22776222689038
taquaritinga do norte,PE,6,-7.910858713164717,-36.07161879922118
ibira,SP,6,-21.08270714593196,-49.239534252796
camapuã,MS,6,-19.534726911066016,-54.04240605753879
santa rita,PB,6,-7.13534369610279,-34.97874726189763
santa rita de caldas,MG,6,-22.049997436853925,-46.329107255186784
teixeiras,MG,6,-20.653805126045775,-42.85515453493235
martins soares,MG,6,-20.25731159513661,-41.87310733510026
ipira,BA,6,-12.154533930203856,-39.74046054005801
itapejara d'oeste,PR,6,-25.966077491144876,-52.82023637693803
ubá,MG,6,-21.113530856172467,-42.93355527961575
uruara,PA,6,-3.7202778344734795,-53.73974164226498
perdigao,MG,6,-20.044102902323626,-45.01623976625967
itaipulandia,PR,6,-25.147980629391814,-54.30365145115528
floresta,PE,6,-8.597804297170457,-38.56979971118692
borda da mata,MG,6,-22.262584130235286,-46.1711239405763
lajedo,PE,6,-8.661327866132831,-36.32293402454861
sao sepe,RS,6,-30.164971760723827,-53.57036133724413
cosmópolis,SP,6,-22.638667316308418,-47.17961468937986
orizona,GO,6,-17.032172054328477,-48.30001770873917
guapiacu,SP,6,-20.79454306878388,-49.224623059021205
guapo,GO,6,-16.836710815613895,-49.53609910657
cosmorama,SP,6,-20.480037106637017,-49.77624322252799
sao jose do calcado,ES,6,-21.02027868005079,-41.65312810451595
mallet,PR,6,-25.883903118459568,-50.82702616356368
mamanguape,PB,6,-6.837168594957803,-35.12688719306731
torrinha,SP,6,-22.43145412941161,-48.16996617407241
trancoso,BA,6,-16.58182674915274,-39.136344626899096
tocantins,MG,6,-21.1726252218232,-43.02193282223309
sales oliveira,SP,6,-20.767627103434553,-47.84072787580174
oeiras,PI,6,-7.015859272902651,-42.1265255109234
carmo da mata,MG,6,-20.55966811821635,-44.86917286484877
ubaira,BA,6,-13.26683726311938,-39.667643041727764
rio pomba,MG,6,-21.27141666979365,-43.17867116209081
rio largo,AL,6,-9.497191293262231,-35.83329662981412
fronteira,MG,6,-20.279454990887864,-49.20255148137911
sananduva,RS,6,-27.950143156090746,-51.80988631728817
camacan,BA,6,-15.414350130540774,-39.49559371209775
bady bassitt,SP,6,-20.91711533777068,-49.45081883954137
gravatal,SC,6,-28.328525261018964,-49.049950172418896
itambacuri,MG,6,-18.037609416886355,-41.68236820339726
colorado,PR,6,-22.837653869064955,-51.97342204540619
sao joao evangelista,MG,6,-18.546168147952585,-42.76559239874277
sao jose da barra,MG,6,-20.7155295833812,-46.31660004625635
califórnia da barra,RJ,6,-21.51765512409707,-43.85246285090664
cachoeira alta,GO,6,-18.73111677835222,-50.95508760157414
cachoeira de minas,MG,6,-22.355813970805112,-45.78233456696949
pacaembu,SP,6,-21.563059536640434,-51.263332875206835
pacaja,PA,6,-3.815264666681339,-50.61876737410132
pacajus,CE,6,-4.175669333979667,-38.46376761942315
tres coroas,RS,6,-29.511355583933106,-50.78115073787274
cardoso,SP,6,-20.080941806166795,-49.91269317703499
cardoso moreira,RJ,6,-21.492932392812843,-41.615142419292205
carai,MG,6,-17.18743056986159,-41.697403090797735
itaobim,MG,6,-16.558301879745645,-41.503188943156474
itaberai,GO,6,-16.023821140278326,-49.80035638517965
catiguá,SP,6,-21.05239268704112,-49.05981951184296
catole do rocha,PB,6,-6.354803150332728,-37.721572491346556
irapuru,SP,6,-21.567726660682457,-51.351473550151816
catanduvas,SC,6,-27.07029248252711,-51.65997041262784
casa nova,BA,6,-9.177388079834074,-40.98130297583368
regeneração,PI,6,-6.228167487451327,-42.689498240483935
jeremoabo,BA,6,-9.953805521582453,-38.671436551420435
vazante,MG,6,-17.987237146966546,-46.903807574561974
espinosa,MG,6,-14.923654164790463,-42.81309249025588
caçador,SC,6,-26.77917497995063,-51.026829352137916
campos de julio,MT,6,-13.723170179440894,-59.25834528253074
quixeramobim,CE,6,-5.198700104551449,-39.29377385907465
jaiba,MG,6,-15.340799938290758,-43.67233213795233
cedral,SP,6,-20.904113556822836,-49.26857484683174
jacareí,SP,6,-23.315644594456955,-45.94303444360796
jeceaba,MG,6,-20.537866120241542,-43.98279310089686
presidente olegario,MG,6,-18.41249436044673,-46.416960003175426
aguas belas,PE,6,-9.108812539014634,-37.117020266836576
águas lindas de goiás,GO,5,-15.732038320949306,-48.279307588185034
quatigua,PR,5,-23.567443775857694,-49.91405971164784
quatis,RJ,5,-22.41319676833652,-44.262680323496014
quatro bocas,PA,5,-2.584963132258858,-49.12518472623518
dom eliseu,PA,5,-4.289137525194669,-47.568081009372996
eldorado,SP,5,-24.52279882421583,-48.10802251113439
elias fausto,SP,5,-23.040633329662644,-47.37164861406023
dom feliciano,RS,5,-30.703912546286055,-52.10802162884412
chui,RS,5,-33.68994828174511,-53.46018295240874
cidade gaucha,PR,5,-23.382615855671663,-52.94086174613473
jauru,MT,5,-15.339703372981825,-58.87232583331276
abre campo,MG,5,-20.294280906968602,-42.47372065361559
ze doca,MA,5,-3.2762848140617855,-45.65490543154854
serra dos aimores,MG,5,-17.78190690626713,-40.244847239146296
senges,PR,5,-24.113671239664153,-49.4639594393949
divinolandia de minas,MG,5,-18.79752831788695,-42.606563575139056
queimadas,PB,5,-7.361945970086667,-35.899161236150825
santo estevao,BA,5,-12.434211527953881,-39.25306257497131
sao carlos,SC,5,-27.080772683210398,-53.00567276780455
moreno,PE,5,-8.117514384880712,-35.110601358453785
monte azul,MG,5,-15.152585076654926,-42.87098092596081
campos altos,MG,5,-19.69675757095511,-46.169855128235056
monte belo,MG,5,-21.325337015065983,-46.36803921930899
adolfo,SP,5,-21.234456456293216,-49.64271564526813
vargem alta,ES,5,-20.644842999268594,-41.00717001967552
vargem bonita,SC,5,-26.98691645462718,-51.75354052626587
viana,MA,5,-3.2116282101304763,-45.001725340475865
belo oriente,MG,5,-19.234384415578205,-42.47992168232194
esplanada,BA,5,-11.797063477493758,-37.947646687658995
joao lisboa,MA,5,-5.446864870927711,-47.4051889210353
jaru,RO,5,-10.436959998460997,-62.47324970516088
seara,SC,5,-27.160802125766633,-52.31539991047458
jesuania,MG,5,-22.00120050686708,-45.288464368178694
jordania,MG,5,-15.89509051958135,-40.18811177569545
jaguaribe,CE,5,-5.900561085325373,-38.63736600115672
castelandia,GO,5,-18.08907764015331,-50.2215933853613
catas altas,MG,5,-20.07559272673594,-43.4075666503638
remanso,BA,5,-9.620891468311969,-42.08147291322284
eugenopolis,MG,5,-21.097884822557152,-42.18385185406441
japura,PR,5,-23.471936210301262,-52.55552269435194
taiúva,SP,5,-21.12467337567158,-48.448628768247815
cassilandia,MS,5,-19.10865503041217,-51.75750386596614
sarandi,RS,5,-27.939046257504383,-52.92636311435909
sao tiago,MG,5,-20.91317647176355,-44.511150895897885
severinia,SP,5,-20.80877790459578,-48.807385189974895
sobradinho,BA,5,-9.470699499739322,-40.81221695121534
cidreira,RS,5,-30.18117266209681,-50.21367392192425
capitao leonidas marques,PR,5,-25.486282685599935,-53.602481090649256
cacapava do sul,RS,5,-30.513795368962736,-53.489209202342934
palmares do sul,RS,5,-30.27076090203048,-50.49760468288321
panorama,SP,5,-21.36187313887081,-51.856902822459254
tres fronteiras,SP,5,-20.235805436783547,-50.88976382630348
santa fe,PR,5,-23.039628461153626,-51.81076125677053
são joão da boa vista,SP,5,-22.00465913046578,-46.81870813169402
bananeiras,PB,5,-6.748088778361755,-35.63143101928754
santa cruz cabralia,BA,5,-16.250370224211835,-39.04155025154749
caldas,MG,5,-21.91385284576575,-46.39241187788379
santa ines,MA,5,-3.6622028051005153,-45.36915501627241
tres barras,SC,5,-26.123049389364333,-50.316187299288124
sao miguel do guama,PA,5,-1.6121134438487104,-47.48467203035956
brauna,SP,5,-21.504276023714116,-50.32234439497585
cruzeiro,DF,5,-15.797091758842976,-47.93699734599853
grajau,MA,5,-5.817305107497372,-46.145619493592214
saltinho,SP,5,-22.84516995720277,-47.6774259881999
sabinopolis,MG,5,-18.667247149650564,-43.08180257232812
sales,SP,5,-21.342211165541023,-49.499887625923535
toritama,PE,5,-8.005955191855476,-36.0586790310908
otacilio costa,SC,5,-27.498995619501198,-50.11624713130414
ourilandia do norte,PA,5,-6.783329340091706,-51.08162715259289
santa cruz de minas,MG,5,-21.1332804482856,-44.208080359340826
guaraniacu,PR,5,-25.100336231545356,-52.868746178176
capitolio,MG,5,-20.61655651835597,-46.04625014233613
capivari de baixo,SC,5,-28.443636588435936,-48.95654041508624
sao jose do cedro,SC,5,-26.454414197309,-53.50307871890679
guaranta do norte,MT,5,-9.948276680421024,-54.9012704789378
guaracai,SP,5,-21.03322283931103,-51.20801738963665
pacatuba,CE,5,-3.916463805132208,-38.60481848797003
guabiruba,SC,5,-27.08859875159925,-48.97959805947018
holambra ii,SP,5,-22.994218604184134,-47.5914471384281
horizonte,CE,5,-4.101430505804672,-38.49223585778494
santa isabel do pará,PA,5,-1.3011382425123206,-48.15659943117272
guaranta,SP,5,-21.894657525052196,-49.589140124912454
novo progresso,PA,5,-7.093480792948907,-55.40306116634601
nucleo bandeirante,DF,5,-15.862816772712495,-47.95591795285163
ocaucu,SP,5,-22.43978584339526,-49.920418157041055
orindiuva,SP,5,-20.185267431091138,-49.35290379035787
granja,CE,5,-3.1306389318396124,-40.84321613776741
itau de minas,MG,5,-20.74428836520151,-46.75138057010448
itauba,MT,5,-11.008064132928315,-55.24365918960272
sao sebastiao do passe,BA,5,-12.499831163064316,-38.752984111986265
laurentino,SC,5,-27.221224290121654,-49.731481761265776
araguatins,TO,5,-5.650280663884922,-48.12128374688021
sao romao,MG,5,-16.366192832134864,-45.07195302725983
rio azul,PR,5,-25.72663590916727,-50.7900497215227
floresta,PR,5,-23.614374068425708,-52.082794433928086
bonito,PE,5,-8.47190791671445,-35.73274106642819
riachao do jacuipe,BA,5,-11.807900364528223,-39.38316511392188
ribeirao claro,PR,5,-23.196538915281,-49.757928908051824
ribeirao do pinhal,PR,5,-23.40951041754561,-50.35787677226499
itapagipe,MG,5,-19.901026410081517,-49.36882034374337
petrolândia,SC,5,-27.523330283710884,-49.687281874420606
pedra azul,MG,5,-15.994741731063716,-41.27255704695075
urbano santos,MA,5,-3.2083187108705644,-43.403096500833485
sud mennucci,SP,5,-20.689439238370312,-50.923232206352566
surubim,PE,5,-7.841478546195655,-35.75945003965524
marechal floriano,ES,5,-20.415508811333915,-40.689012695583465
sao joao do piaui,PI,5,-8.230289599585232,-42.25228928955357
canápolis,MG,5,-18.72350346707715,-49.199277900732596
igarata,SP,5,-23.20504089340484,-46.153200257829695
