geolocation_city,geolocation_state,total_orders,avg_lat,avg_lng
rio grande,RS,121,-32.0726653142811,-52.13030171012841
cachoeiro de itapemirim,ES,121,-20.84674091359177,-41.12502433678258
novo hamburgo,RS,121,-29.690540291188537,-51.12451264519587
teresopolis,RJ,119,-22.413673203795437,-42.9625638174683
barra mansa,RJ,119,-22.54172854479424,-44.174764493395166
sao jose dos pinhais,PR,118,-25.532234619182375,-49.16900112825419
sao joao de meriti,RJ,117,-22.78784523282425,-43.36785536228289
goiânia,GO,117,-16.681478937957657,-49.26294066893203
resende,RJ,115,-22.471166549248075,-44.46396657069943
pocos de caldas,MG,115,-21.797021457096704,-46.56498670496581
florianópolis,SC,114,-27.606797036630958,-48.51749582889897
cabo frio,RJ,113,-22.860727457181348,-42.02819492386061
marica,RJ,113,-22.930838729296227,-42.879769971133456
passo fundo,RS,112,-28.262646692056084,-52.45473618356472
aracatuba,SP,112,-21.205062402404394,-50.444364040820844
ferraz de vasconcelos,SP,109,-23.541328273912512,-46.37500713945066
franco da rocha,SP,108,-23.310383646723853,-46.729266001007346
porto velho,RO,108,-8.760314041205943,-63.87534695989748
belford roxo,RJ,104,-22.738023401398568,-43.38191827756671
aparecida de goiania,GO,103,-16.773879313545134,-49.270370262876355
são bernardo do campo,SP,103,-23.72182226645831,-46.56315957325922
botucatu,SP,100,-22.881074572731663,-48.44723321064744
patos de minas,MG,99,-18.58828619813901,-46.51244492353363
nova iguaçu,RJ,98,-22.740086512086506,-43.47322511639759
pindamonhangaba,SP,98,-22.93205944081587,-45.44506229311691
itatiba,SP,97,-23.00833122464354,-46.83533952999305
nova lima,MG,96,-20.00811533296961,-43.90205502428258
gravatai,RS,96,-29.932735707567627,-51.01881115028646
cajamar,SP,96,-23.382820034841515,-46.84546595264317
caieiras,SP,96,-23.36307644562977,-46.737385021663606
anapolis,GO,95,-16.325274964428697,-48.94912748752466
francisco morato,SP,94,-23.280963361283376,-46.740017372539256
paulinia,SP,94,-22.772307791981003,-47.15768969073939
itapecerica da serra,SP,93,-23.718524948424957,-46.837149377971095
araras,SP,93,-22.358379440173692,-47.3790159184875
hortolandia,SP,91,-22.874218630517564,-47.21023056775615
chapeco,SC,90,-27.097354428891478,-52.61655728960849
vinhedo,SP,90,-23.03708490779331,-46.98355134217
salto,SP,89,-23.194391144301928,-47.29211709525486
ribeirao das neves,MG,89,-19.78162680619585,-44.05115235415882
olinda,PE,89,-7.990447744795571,-34.85957456027978
santa luzia,MG,89,-19.81106933672782,-43.88706155596612
palmas,TO,88,-10.207631399938347,-48.327914018998975
itajai,SC,88,-26.906922740718088,-48.687264243825126
balneario camboriu,SC,88,-27.00498644453652,-48.63727125777902
sao leopoldo,RS,88,-29.764373779838195,-51.13855042091818
varginha,MG,87,-21.56379859783357,-45.43916088537735
vicosa,MG,85,-20.754884010652983,-42.877710647161
mage,RJ,84,-22.639480548800073,-43.115617172461114
jandira,SP,84,-23.541861802019444,-46.9041991581561
ananindeua,PA,84,-1.3634159827331058,-48.400218216274865
assis,SP,84,-22.658034048102273,-50.415587486546556
votorantim,SP,84,-23.5489003752702,-47.44614919947501
angra dos reis,RJ,83,-22.993207864539503,-44.34946323321094
caraguatatuba,SP,83,-23.640455020867517,-45.415067638728914
lages,SC,83,-27.814404546567864,-50.32294004211667
conselheiro lafaiete,MG,82,-20.656800680605887,-43.778734511031296
santa barbara d'oeste,SP,82,-22.744249515807393,-47.389332104172176
lorena,SP,82,-22.738119475359937,-45.11541521864629
vitoria da conquista,BA,81,-14.86341561653818,-40.83868883621792
guaratingueta,SP,80,-22.79985803393449,-45.19155856717909
lavras,MG,80,-21.244708636505745,-44.999201639430474
barbacena,MG,79,-21.22029777615175,-43.77232327626948
cubatao,SP,78,-23.905096491839874,-46.42066219608158
itabira,MG,77,-19.635861876208786,-43.223458104429184
ourinhos,SP,77,-22.978646821418064,-49.87429004970765
itapetininga,SP,77,-23.58558895350729,-48.04413038763408
mogi mirim,SP,76,-22.430524465509272,-46.96024051207687
mairipora,SP,75,-23.329721686232084,-46.59712215964799
mesquita,RJ,75,-22.781679632155114,-43.42440784585537
sao joao da boa vista,SP,75,-21.97649389112315,-46.79056261428831
jaragua do sul,SC,75,-26.48172429992378,-49.09350471683786
araruama,RJ,74,-22.86965694518422,-42.321414936246086
itanhaem,SP,74,-24.18271029899566,-46.801838599988436
ubatuba,SP,72,-23.452929299956928,-45.093219408528476
cachoeirinha,RS,72,-29.902572927899726,-51.069560410704774
catanduva,SP,72,-21.134767257648278,-48.972679750101875
ribeirao pires,SP,72,-23.702043018249157,-46.40899503327259
nilopolis,RJ,72,-22.808972439673227,-43.42034680428733
lauro de freitas,BA,71,-12.885488015742103,-38.315586061972745
toledo,PR,70,-24.72903182838935,-53.73932741523098
pirassununga,SP,69,-21.99707102553264,-47.41932529470941
rio branco,AC,69,-9.96715169594917,-67.82738434930768
barretos,SP,69,-20.560976773877254,-48.56822273089282
foz do iguacu,PR,67,-25.521232704991945,-54.567341685286316
guarapari,ES,66,-20.664492649579046,-40.49964373474364
pinhais,PR,66,-25.43402620091408,-49.180699058893026
ribeirão preto,SP,66,-21.21255045797283,-47.80835281489264
cacapava,SP,65,-23.103383808799823,-45.707514815997406
sao roque,SP,65,-23.536220954475827,-47.127886452972
campina grande,PB,65,-7.232510644124087,-35.89678728906375
manhuacu,MG,64,-20.25268829369247,-42.040598534498436
linhares,ES,64,-19.381430848933448,-40.059187263825635
dourados,MS,63,-22.226506519522086,-54.80835664026501
birigui,SP,63,-21.29056618511361,-50.33838752437049
amparo,SP,63,-22.709112264290926,-46.78341834281708
criciuma,SC,63,-28.685546941416227,-49.375603867760155
rio verde,GO,63,-17.798803211733894,-50.92197449792554
votuporanga,SP,63,-20.417232780669572,-49.97358093870108
vitória,ES,63,-20.29048570313188,-40.30184917269733
colatina,ES,63,-19.529589874388442,-40.63824162203465
paracatu,MG,62,-17.2241790239998,-46.874264632410174
caratinga,MG,62,-19.78602213353007,-42.137143921165126
caruaru,PE,62,-8.281018396331762,-35.97157536211622
guarapuava,PR,62,-25.391138079029265,-51.470736602929705
santa cruz do sul,RS,62,-29.720089392053005,-52.42619138387236
sao joao del rei,MG,62,-21.126934660516905,-44.245653179963874
petrolina,PE,61,-9.384504466873148,-40.507115857859596
tubarao,SC,60,-28.48229317694246,-49.01243899651414
avare,SP,60,-23.099489425758414,-48.92293420067973
itabuna,BA,60,-14.794000739069398,-39.275325122594204
colombo,PR,60,-25.354340424737362,-49.18995187707567
petrópolis,RJ,60,-22.50514048693719,-43.19212885603992
araxa,MG,60,-19.597154888503997,-46.935082040815935
brusque,SC,60,-27.10761903107676,-48.918625258957945
mauá,SP,59,-23.672666660417132,-46.45275067196295
jaguariuna,SP,59,-22.693007501788706,-46.98297121401398
lagoa santa,MG,58,-19.636520104484408,-43.89965142692265
parnamirim,RN,57,-5.898706292745317,-35.22402381441625
palhoca,SC,57,-27.659510593266468,-48.669591600289635
paranagua,PR,57,-25.534831502349732,-48.533632935010935
viamao,RS,57,-30.078286097655305,-51.0552863107447
rondonopolis,MT,57,-16.461943759065424,-54.629963018139236
itauna,MG,56,-20.07826412270212,-44.580361221044036
itajuba,MG,56,-22.42920012606654,-45.46029776118989
cruzeiro,SP,56,-22.571144954256727,-44.96137737490402
campo mourao,PR,56,-24.037298128191434,-52.376717002993324
erechim,RS,56,-27.638832240625003,-52.273365435050536
mogi guaçu,SP,55,-22.353434639141422,-46.94189188577274
ouro preto,MG,55,-20.391011466737957,-43.507047162023525
camacari,BA,55,-12.702723450366836,-38.32570132295608
aruja,SP,55,-23.39599880695946,-46.320586195342415
lins,SP,54,-21.67765598412977,-49.75101503311691
araguari,MG,54,-18.6470253354295,-48.194171839461596
unai,MG,54,-16.36381396260518,-46.89530822527895
tatui,SP,53,-23.35049137112414,-47.84315989472246
pato branco,PR,53,-26.227721945215784,-52.67413990472419
ituiutaba,MG,53,-18.97366234179009,-49.46392509530026
queimados,RJ,53,-22.71402694651842,-43.56362420971206
tupa,SP,52,-21.935556079567732,-50.51259948436249
apucarana,PR,52,-23.55640055801067,-51.460930901471414
itapira,SP,52,-22.43571367257221,-46.82204919179763
itapeva,SP,52,-23.98499629117293,-48.882002350112344
ijui,RS,52,-28.387828504120073,-53.91593589989315
macapa,AP,52,0.03794808646532149,-51.06885773882904
fernandopolis,SP,52,-20.284122537295136,-50.2497039381375
barreiras,BA,51,-12.146149385099173,-44.980403966174265
hortolândia,SP,51,-22.895128381796354,-47.20141696632737
bebedouro,SP,51,-20.94251281971529,-48.48914872073677
jau,SP,51,-22.297165222701516,-48.56117965523512
matao,SP,51,-21.60795845342448,-48.359131173435586
poa,SP,51,-23.529757999997628,-46.344864296248865
joao monlevade,MG,50,-19.82081748948226,-43.17283278012587
jaboticabal,SP,50,-21.259101081225467,-48.3191684408408
lajeado,RS,50,-29.454966350133013,-51.97064722469593
francisco beltrao,PR,50,-26.07042653279123,-53.05276779585265
alvorada,RS,50,-30.010647274430156,-51.06651179218406
teofilo otoni,MG,50,-17.864803651629085,-41.50478826165444
ilheus,BA,50,-14.80012059591708,-39.04136045307752
leme,SP,50,-22.186432964435607,-47.38482194093731
araucaria,PR,49,-25.585820965622545,-49.38679338115933
joão pessoa,PB,49,-7.1193904772070375,-34.84734273751845
nova serrana,MG,49,-19.874060044307274,-44.98701334631972
varzea paulista,SP,48,-23.215167772691,-46.83419117764302
itaborai,RJ,48,-22.74960450479797,-42.86819535278193
uruguaiana,RS,47,-29.766750926341903,-57.07921322842898
uba,MG,47,-21.115394604334682,-42.944854676268484
boituva,SP,47,-23.287426948305722,-47.67058614671451
campo limpo paulista,SP,47,-23.21436559208849,-46.774578318666364
bertioga,SP,47,-23.818390396829994,-46.080623703430774
itaperuna,RJ,46,-21.20342798651726,-41.89346823832069
sertaozinho,SP,46,-21.133688141210172,-47.995404265735615
embu-guacu,SP,46,-23.8351268270498,-46.81408628502836
patrocinio,MG,45,-18.94448303886014,-46.99136945941659
registro,SP,45,-24.498837779550897,-47.846161286509876
saquarema,RJ,45,-22.910960076915615,-42.50232181665369
videira,SC,44,-27.00447650803858,-51.15253710423869
itapema,SC,44,-27.10477573247404,-48.62229620137128
louveira,SP,44,-23.08550507419915,-46.95954096067056
sao bento do sul,SC,44,-26.242789763603415,-49.38561950357378
sao mateus,ES,44,-18.723488986875918,-39.84118847434292
ilhabela,SP,44,-23.814526222798346,-45.36872586432739
jatai,GO,44,-17.881367357112342,-51.72120748337474
cosmopolis,SP,44,-22.639990731874477,-47.190703607169546
macaé,RJ,44,-22.394023491160333,-41.79375496287968
são josé do rio pardo,SP,44,-21.582987429934313,-46.94775856933445
concordia,SC,43,-27.23147550870431,-52.01965896304849
bento goncalves,RS,43,-29.162930310183658,-51.516827131093486
ibirite,MG,43,-20.014619733422588,-44.068457494660535
vargem grande paulista,SP,43,-23.622578843657738,-47.01272716168211
sao sebastiao,SP,43,-23.77910737115749,-45.55943972704065
alfenas,MG,43,-21.42303282152566,-45.95186007232803
peruibe,SP,43,-24.30309880267998,-46.98704897913631
passos,MG,43,-20.724575254411363,-46.60601250635889
sao pedro da aldeia,RJ,43,-22.830642314318027,-42.12187523034902
itupeva,SP,42,-23.15730622830591,-47.05406044642659
curvelo,MG,42,-18.76341842229983,-44.433156771319794
pirapora,MG,42,-17.340845395897375,-44.933534144970096
juazeiro,BA,42,-9.42612248212099,-40.50073157595756
timoteo,MG,42,-19.54438597431161,-42.63977008487818
vespasiano,MG,41,-19.731097253636868,-43.94146568879755
sinop,MT,41,-11.858348853789376,-55.50985821264968
mongagua,SP,41,-24.11189555747921,-46.665437421768196
ouro branco,MG,41,-20.520692144641046,-43.704435469350024
paulista,PE,41,-7.932991862026036,-34.858697222870454
sabara,MG,40,-19.88144898062056,-43.85148961177988
coronel fabriciano,MG,40,-19.507833601063876,-42.62247028055606
pedro leopoldo,MG,40,-19.613117562252093,-44.03989226354459
boa vista,RR,40,2.823562126757954,-60.696306243070254
santa bárbara d'oeste,SP,40,-22.760631607445767,-47.408377578143806
alagoinhas,BA,40,-12.137167233535305,-38.419732541537456
tres coracoes,MG,40,-21.69337082687344,-45.25976867138686
artur nogueira,SP,40,-22.571207861628345,-47.1657687687331
imperatriz,MA,40,-5.519872300568329,-47.47824741523789
andradina,SP,40,-20.89904964988893,-51.376397563205366
sao miguel do oeste,SC,39,-26.73341376125163,-53.5175299144085
sapucaia do sul,RS,39,-29.82805254538164,-51.147800094194494
extrema,MG,39,-22.855478223289115,-46.31950127100401
esteio,RS,39,-29.849053147869483,-51.164477239197446
cianorte,PR,39,-23.659130356863837,-52.61070720224245
são gonçalo,RJ,39,-22.827790305691433,-43.01198819778965
